"lterid","title","knbid","authors"
"HFR","Stand and Community Response to Hemlock Woolly Adelgid in Southern New England since 1995 (hf021-04-herbs.csv)","knb-lter-hfr.21.17","David Orwig, David Foster"
"HFR","Permanent Plots at Pisgah State Forest in Winchester NH since 1984 (hf041-01-tree.csv)","knb-lter-hfr.41.19","David Foster, Peter Schoonmaker, Audrey Barker Plotkin, Jesse DeNormandie, Russell Stafford"
"HFR","Biomass Inventories at Harvard Forest EMS Tower since 1993 (hf069-09-trees.csv)","knb-lter-hfr.69.25","William Munger, Steven Wofsy, Carol Barford, David Bryant, Victoria Chow, Daniel Curran, Evan Goldman, Elizabeth Hammond-Pyle, Lucy Hutyra, Christine Jones, Kathryn McKain, Leland Werden"
"HFR","Seed Bank in Hemlock Removal Experiment at Harvard Forest 2004-2010 (hf105-05-seed-rain.csv)","knb-lter-hfr.105.18","Aaron Ellison, Elizabeth Farnsworth, Kelley Sullivan, Audrey Barker Plotkin, Samantha Hilerio, Chelsea Carr, Mack Bennett"
"HFR","Understory Vegetation in Hemlock Removal Experiment at Harvard Forest since 2003 (hf106-03-shrub.csv)","knb-lter-hfr.106.22","Aaron Ellison, Audrey Barker Plotkin, David Foster, David Orwig"
"HFR","Understory Vegetation in Hemlock Removal Experiment at Harvard Forest since 2003 (hf106-04-seedling-density.csv)","knb-lter-hfr.106.22","Aaron Ellison, Audrey Barker Plotkin, David Foster, David Orwig"
"HFR","Understory Vegetation in Hemlock Removal Experiment at Harvard Forest since 2003 (hf106-05-seedling-cover.csv)","knb-lter-hfr.106.22","Aaron Ellison, Audrey Barker Plotkin, David Foster, David Orwig"
"HFR","Ants Under Climate Change at Harvard Forest and Duke Forest since 2009 (hf113-18-hf-cham-ants.csv)","knb-lter-hfr.113.51","Aaron Ellison, Robert Dunn, Mark Boudreau, Nicholas Gotelli, Neil McCoy, Shannon Pelini, Renee Marchin, Nathan Sanders"
"HFR","Ants Under Climate Change at Harvard Forest and Duke Forest since 2009 (hf113-32-hf-cham-spiders.csv)","knb-lter-hfr.113.51","Aaron Ellison, Robert Dunn, Mark Boudreau, Nicholas Gotelli, Neil McCoy, Shannon Pelini, Renee Marchin, Nathan Sanders"
"HFR","Ant Assemblages in Hemlock Removal Experiment at Harvard Forest since 2003 (hf118-01-ants.csv)","knb-lter-hfr.118.24","Aaron Ellison"
"HFR","Moths, Ants and Pitcher Plants in Bogs at Harvard Forest and Belchertown MA since 2007 (hf159-05-MAPPexp1-growth.csv)","knb-lter-hfr.159.13","Aaron Ellison, Nicholas Gotelli"
"HFR","Ants and Ecosystem Function in Hemlock Removal Experiment at Harvard Forest since 2006 (hf160-03-ants.csv)","knb-lter-hfr.160.17","Aaron Ellison, Aimee Classen, Israel Del Toro, Nicholas Gotelli, Shannon Pelini, Nathan Sanders"
"HFR","Tree Growth and Coarse Woody Debris in Regenerating Forests at Harvard Forest since 2008 (hf175-01-dbh.csv)","knb-lter-hfr.175.8","Allison Dunn"
"HFR","Demography of Sarracenia Purpurea in Massachusetts and Vermont since 1997 (hf202-01-sarr-dem.csv)","knb-lter-hfr.202.8","Aaron Ellison, Nicholas Gotelli"
"HFR","Growth Rates of Xanthoparmelia Lichens in North Cemetery, Petersham MA since 2005 (hf217-01-lichen-growth-rates.csv)","knb-lter-hfr.217.2","Anne Pringle"
"KBS","Insect Populations via Sticky Traps (1989 to 2013)",NA,"Doug Landis, Stuart Gage"
"KBS","Early Successional Microplot Biomass - by Species (1989 to present)",NA,"Kay Gross, Mark Hammond"
"KBS","Forest DBH - Raw Data (1998 to present)",NA,"Phil Robertson, Dick Harwood, Stacey VanderWulp"
"CWT","Tree growth (1999-2012) for the Functional Diversity project, Coweeta Hydrologic Laboratory, Otto, North Carolina (1102_1_0.csv)",NA,"Katherine Elliott, Jason Love"
"CWT","Tipularia discolor plant demography 1999-2004 (1203_1_0.csv)",NA,"Robert J. Warren II, Ron Pulliam"
"CWT","Hexastylis arifolia (Asarum canadensis) plant demography 1999-2006 at the Coweeta Hydrologic Laboratory, Chattahoochee National Forest, and Whitehall Forest (1202_1_0.csv)",NA,"Robert J. Warren II, Ron Pulliam"
"CWT","Eastern Hemlock (Tsuga canadensis) Tree Growth Study (1130_1_0.csv)",NA,"Katherine Elliott, Chelcy Ford Miniat, Jason Love"
"CWT","Dendrometer Band Measurements from the Coweeta LTER Terrestrial Gradient Sites, Coweeta Hydrologic Laboratory, Otto, North Carolina. (1022_1_0.csv)",NA,"James M. Vose, Jason Love"
"CWT","Microhabitat use in a stream fish assemblage (3046_fish_data_1_0.csv)",NA,"Gary D. Grossman, Mary Freeman"
"CWT","Stream fish assemblage stability in a southern Appalachian stream at the Coweeta Hydrologic Laboratory from 1984 to 1995 (3047_fish_data_1_0.csv)",NA,"Gary D. Grossman, Mary Freeman"
"CWT","Seed production and dispersal for Tsuga canadiensis (1008_1_0.csv)",NA,"James S. Clark"
"CWT","Fish collections at Coweeta LTER 100 m stream sites from 1991 to 1998 (CWT_POP_3006_1_0.csv)",NA,"Gary D. Grossman"
"HBR","Long-term trends in abundance of Lepidoptera larvae in northern hardwood forests (leps.txt)","knb-lter-hbr.82","Richard T. Holmes"
"HBR","Gastropod abundance on W1 and west of W6, 1997-2006 (gastropods.txt)","knb-lter-hbr.126","Steven Hamburg, Matthew Vadeboncoeur, Monica Skeldon"
"MCM","Summer Phytoplankton Densities 1992-2001",NA,"Diane McKnight"
"JRN","Jornada Experimental Range Permanent Quadrat Chart Data beginning 1915",NA,"Kris Havstad"
"JRN","Spatial and Temporal Patterns of Net Primary Production in Chihuahuan Desert Ecosystems (NPP Study): NPP Study: Quadrat field measurement data",NA,"Debra Peters, Laura F. Huenneke, Esteban Muldavin, John Anderson"
"JRN","Transect Plant Line Intercepts: Transect plant line intercepts - percent cover by species",NA,"John P Anderson"
"JRN","Animal Transect Data",NA,"John P. Anderson"
"JRN","Arthropod Pitfall Traps-II in 4x4 grid at LTER II NPP sites",NA,"John P Anderson"
"JRN","Small Mammal Exclosure Study: SMES rabbit survey data",NA,"Brandon Bestelmeyer"
"JRN","Small Mammal Exclosure Study: SMES rodent trapping data",NA,"Brandon Bestelmeyer"
"JRN","Small Mammal Exclosure Study: SMES vegetation quadrat data",NA,"Brandon Bestelmeyer"
"JRN","Lizard pitfall trap data (LTER-II, LTER-III)",NA,"John Anderson, David Lightfoot"
"CCE","Bird Species Abundance - Seasonal 164",NA,"Bill Sydeman"
"CCE","Nano and Microplankton Abundance (CalCOFI Cruise) 58",NA,"Michael Landry, CCE LTER Information Manager"
"CCE","Nano and Microplankton Biomass (CalCOFI Cruise) 57",NA,"Michael Landry, CCE LTER Information Manager"
"CCE","Occurrence and Distribution of Spiny Lobster Phyllosoma, Panulirus interruptus ( Randall) 188",NA,"Tony Koslow, CCE LTER Information Manager"
"CCE","Phytoplankton species composition, California Current (CalCOFI Cruises) 254",NA,"Elizabeth Venrick, CCE LTER Information Manager"
"CCE","Picoplankton and Bacteria Abundance (CalCOFI Cruise) 159",NA,"Michael Landry, CCE LTER Information Manager"
"CCE","Zooplankton Abundance of Euphausiid Sentinel Species - Spring Annual Averages 155",NA,"Mark Ohman, CCE LTER Information Manager"
"KNZ","PVC02 Plant Species Composition on Selected Watersheds at Konza Prairie",NA,"David Hartnett, Scott Collins, Konza LTER"
"SEV","PVC02 Plant Species Composition on Selected Watersheds at Konza Prairie",NA,"David Hartnett, Scott Collins, Konza LTER"
"KNZ","PBG01 Plant species composition in the patch burning-grazing experiment at Konza Prairie",NA,"Anthony Joern, Konza LTER"
"KNZ","PPL01 Konza Prairie Long-Term Phosphorus Plots Study",NA,"Meghan Avolio, Konza LTER"
"KNZ","CSM01 Seasonal Summary of Numbers of Small Mammals on 14 LTER Traplines in Prairie Habitats at Konza Prairie",NA,"Donald Kaufman"
"KNZ","CBH01 Konza Prairie Bison Herd Information",NA,"John Briggs"
"KNZ","CBN01 Records of breeding activities for birds on Konza",NA,"Brett Sandercock, Konza LTER"
"KNZ","CBP01 Variable distance line-transect sampling of bird population numbers in different habitats on Konza Prairie",NA,"Alice Boyle"
"KNZ","CFP01 Fish population on selected watersheds at Konza Prairie",NA,"Keith Gido, Konza LTER"
"KNZ","CGP01 Gall-insect Densities on Selected Plant Species in Watersheds with Different Fire Frequencies",NA,"David Hartnett, Konza LTER"
"KNZ","CMY01 Mycorrhizal Colonization and Plant Community Responses to Long-term Suppression of Mycorrhizal Fungi",NA,"Gail Wilson, Konza LTER"
"KNZ","CPC01 Annual Census of Greater Prairie Chickens on Leks at Konza Prairie",NA,"Alice Boyle, Konza LTER"
"LUQ","Revegetation of landslides, vegetation <0.1m (Small landslide plots at the Luquillo Experimental Forest)",NA,"Lawrence Walker"
"LUQ","Shrimp populations in Quebrada Prieta (Pools 0, 8, 9, 15) (El Verde)",NA,"Todd Crowl"
"LUQ","Frog population plots (El Verde + Bisley)",NA,"Lawrence Woolbright"
"LUQ","El Verde Grid long-term invertebrate data",NA,"Michael Willig, Christopher Bloch"
"LUQ","Ecuador old fields permanent plot vegetation sampling",NA,"Randall Myster, Eda Melendez-Colom"
"LUQ","Sabana pasture permanent plot vegetation sampling",NA,"Randall Myster, Eda Melendez-Colom"
"LUQ","Canopy invertebrate responses to Hurricane Hugo",NA,"Timothy Schowalter, Eda Melendez-Colom"
"LUQ","Conservation and management of migratory fauna and dams in tropical streams of Puerto Rico",NA,"Effie Greathouse, Eda Melendez-Colom"
"LUQ","Bromeliad invertebrate counts at different elevations in the LEF",NA,"Barbara Richardson, Eda Melendez-Colom"
"LUQ","Census of species, diameter and location at the Luquillo Forest Dynamics Plot (LFDP), Puerto Rico",NA,"Jess Zimmerman, Jill Thompson, Eda Melendez-Colom"
"LUQ","Canopy Trimming Experiment (CTE) Canopy invertebrate responses to disturbance",NA,"Timothy Schowalter, Eda Melendez-Colom"
"LUQ","Canopy Trimming Experiment (CTE) Snail data",NA,"Timothy Schowalter, Eda Melendez-Colom"
"LUQ","Canopy Trimming Experiment (CTE) Fern surveys",NA,"Joanne Sharpe, Sarah Stankavich, Eda Melendez-Colom"
"LUQ","Canopy Trimming Experiment (CTE) plants greater than 1 centimeter diameter at breast height (DBH)",NA,"Jess Zimmerman, Eda Melendez-Colom"
"LUQ","Canopy Trimming Experiment (CTE) plant seedling measurements",NA,"Jess Zimmerman, Eda Melendez-Colom"
"MCR","MCR LTER: Coral Reef: Long-term Population and Community Dynamics: Benthic Algae and Other Community Components, ongoing since 2005","knb-lter-mcr.8.28","Robert Carpenter, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Long-term Population and Community Dynamics: Fishes, ongoing since 2005","knb-lter-mcr.6.54","Andrew Brooks, Giacomo Bernardi, Tom Adam, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Population Dynamics: Mean Daily Recruitment of Three-spot Dascyllus to Gump Reef, 1992 to 2012","knb-lter-mcr.3.18","Russell Schmitt, Sally Holbrook, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Population Dynamics: Adult threespot dascyllus and their host anemones, ongoing since 1992","knb-lter-mcr.2.16","Russell Schmitt, Sally Holbrook, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Long-term Population Dynamics of Acanthaster planci, ongoing since 2005","knb-lter-mcr.1039.6","Andrew Brooks, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Long-term Population and Community Dynamics: Other Benthic Invertebrates, ongoing since 2005","knb-lter-mcr.7.28","Robert Carpenter, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Community Dynamics: Juvenile Coral Density from 2005, ongoing","knb-lter-mcr.4002.12","Peter Edmunds, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Demersal Zooplankton Composition and Abundance","knb-lter-mcr.21.16","Alice Alldredge, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Water Column: Zooplankton Composition and Abundance","knb-lter-mcr.13.15","Alice Alldredge, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Long-term Population and Community Dynamics: Corals, ongoing since 2005","knb-lter-mcr.4.33","Peter Edmunds, Moorea Coral Reef LTER"
"MCR","MCR LTER: Coral Reef: Macroalgal CHN, ongoing since 2005","knb-lter-mcr.20.16","Robert Carpenter, Moorea Coral Reef LTER"
"NTL","Biocomplexity at North Temperate Lakes LTER; Whole Lake Manipulations: Aquatic Macrophytes 2001 - 2010",NA,"Stephen Carpenter, Gretchen Hansen, Katie Hein, Timothy Kratz, Jake Vander Zanden"
"NTL","Cascade Project at North Temperate Lakes LTER: Piscivore Fish 1984 - 2003",NA,"Stephen Carpenter, Jim Kitchell, Jon Cole, Mike Pace"
"NTL","Little Rock Lake Experiment at North Temperate Lakes LTER: Zooplankton 1983 - 2000",NA,"Timothy Kratz"
"NTL","Madison Wisonsin Lakes Zooplankton 1976 - 1994",NA,"Richard Lathrop"
"NTL","North Temperate Lakes LTER: Benthic Macroinvertebrates 1981 - current",NA,"NTL Lead PI, John Magnuson, Stephen Carpenter, Emily Stanley"
"NTL","North Temperate Lakes LTER: Crayfish Abundance 1981 - current",NA,"NTL Lead PI, John Magnuson, Stephen Carpenter, Emily Stanley"
"NTL","North Temperate Lakes LTER: Fish Length Frequency 1981 - current",NA,"NTL Lead PI, John Magnuson, Stephen Carpenter, Emily Stanley"
"NTL","North Temperate Lakes LTER: Fish Lengths and Weights 1981 - current",NA,"NTL Lead PI, John Magnuson, Stephen Carpenter, Emily Stanley"
"PAL","Adelie Penguin demography - breeding population size and overwinter survival, collected at Palmer Station Antarctica research area, 1991 - present.",NA,"William Fraser, PAL LTER Information Manager"
"PAL","Adelie Penguin demography - all sightings of previously flipper banded penguins, collected at Palmer Station Antarctica research area, 1991 - 2006.",NA,"William Fraser, PAL LTER Information Manager"
"PIE","Aboveground biomass of Spartina alterniflora at Law's Point salt marsh on the Rowley River.","knb-lter-pie.32.12","Jim Morris, Karen Sundberg, Plum Island Ecosystems LTER"
"PIE","Aboveground biomass of Spartina patens at Law's Point salt marsh on the Rowley River.","knb-lter-pie.33.13","Jim Morris, Karen Sundberg, Plum Island Ecosystems LTER"
